mission_key,source_record,mission_date,mission_id_raw,record_lon,record_lat,record_x,record_y,record_n_bombs,recorded_tonnage_t,known_tonnage_t,imputed_weapon_count,imputed_weapon_fraction,n_raw_rows,record_mission_id
CACTA6669|1967-03-01|MX032,CACTA6669,1967-03-01,MX032,106.901825,16.8754237,5519.043353988111,17282.32692032591,8,1.81436948,1.81436948,0,0.0,1,3346
CACTA6669|1968-05-05|ME523,CACTA6669,1968-05-05,ME523,106.93468484848486,16.82618406090909,9018.414861819034,11807.12886360784,33,3.3302751805399997,3.3302751805399997,0,0.0,3,5822
CACTA6669|1967-03-16|ME021,CACTA6669,1967-03-16,ME021,106.96281430000002,16.87394501,12014.028222861256,17117.90409424598,21,4.762719885,4.762719885,0,0.0,1,3560
CACTA6669|1969-04-06|MX022,CACTA6669,1969-04-06,MX022,106.8529275,16.86593154,311.76072202349053,16226.846885427422,20,4.535923700000001,4.535923700000001,0,0.0,1,7057
CACTA6669|1968-02-05|ME907,CACTA6669,1968-02-05,ME907,106.9067227,16.80218442,6040.618243227432,9138.490553225696,6,1.36077711,1.36077711,0,0.0,1,5074
CACTA6669|1968-03-09|ME342,CACTA6669,1968-03-09,ME342,107.00941569999999,16.75422051,16976.79034454968,3805.147099189479,14,2.086524902,2.086524902,0,0.0,2,5437
CACTA6669|1967-01-03|JG017,CACTA6669,1967-01-03,JG017,106.96428059999998,16.83417256,12170.180143166464,12695.409434021489,12,2.72155422,2.72155422,0,0.0,1,2743
CACTA6669|1967-09-30|ME015,CACTA6669,1967-09-30,ME015,106.882448,16.81415531,3455.512180418544,10469.592788645847,8,1.81436948,1.81436948,0,0.0,1,4502
CACTA6669|1967-06-11|MX038,CACTA6669,1967-06-11,MX038,106.92126962,16.84921809,7589.775641142672,14368.396038700046,5,4.535923700000001,4.535923700000001,0,0.0,5,4164
CACTA6669|1969-03-27|MX034,CACTA6669,1969-03-27,MX034,106.9120753,16.86809934,6610.6371811246545,16467.89524740775,5,4.535923700000001,4.535923700000001,0,0.0,1,6994
CACTA6669|1968-02-07|JC020,CACTA6669,1968-02-07,JC020,106.94730020000002,16.82529818,10361.872110983993,11708.623400905753,12,2.72155422,2.72155422,0,0.0,1,5094
CACTA6669|1969-11-14|JH413,CACTA6669,1969-11-14,JH413,106.9167492,16.86624845,7108.378748557406,16262.085669630602,26,4.15127737024,4.15127737024,0,0.0,3,8192
CACTA6669|1968-08-20|ME349,CACTA6669,1968-08-20,ME349,106.9168859,16.87980147,7122.936456738463,17769.112734342812,12,2.72155422,2.72155422,0,0.0,1,6334
CACTA6669|1968-03-22|MX017,CACTA6669,1968-03-22,MX017,106.94198439999998,16.85607127,9795.772146464298,15130.434886082186,12,2.72155422,2.72155422,0,0.0,1,5537
CACTA6669|1967-06-29|ME027,CACTA6669,1967-06-29,ME027,106.9090786,16.85005479,6291.5070852466515,14461.432833823783,14,2.086524902,2.086524902,0,0.0,2,4238
CACTA6669|1968-05-14|ME517,CACTA6669,1968-05-14,ME517,106.9542756,16.86499058,11104.709255438096,16122.216907252217,12,1.8506568696,1.8506568696,0,0.0,2,5903
CACTA6669|1967-04-18|ME027,CACTA6669,1967-04-18,ME027,107.02828999999998,16.85342891,18986.787063817315,14836.617859713742,7,1.587573295,1.587573295,0,0.0,1,3819
CACTA6669|1969-12-03|MX128,CACTA6669,1969-12-03,MX128,106.91479950000003,16.8590377,6900.747705100088,15460.286852328096,10,2.2679618500000003,2.2679618500000003,0,0.0,1,8273
CACTA6669|1968-03-01|ME307,CACTA6669,1968-03-01,ME307,106.97095099999999,16.84404823,12880.536665858976,13793.533835237311,10,1.179340162,1.179340162,0,0.0,1,5346
CACTA6669|1966-07-16|M0043,CACTA6669,1966-07-16,M0043,106.89472040000001,16.821723454999997,4762.447205167096,11311.132116756085,2,0.8935769689,0.8935769689,0,0.0,2,1094
CACTA6669|1968-12-06|MX032,CACTA6669,1968-12-06,MX032,106.9401077,16.85608903,9595.915153460719,15132.409707979245,10,2.2679618500000003,2.2679618500000003,0,0.0,1,6703
CACTA6669|1968-08-01|ME351,CACTA6669,1968-08-01,ME351,106.89711470000002,16.873660100000002,5017.4254107135575,17086.22354769593,4,0.90718474,0.90718474,0,0.0,1,6255
CACTA6669|1967-01-16|MX031,CACTA6669,1967-01-16,MX031,106.90050124375,16.742658350625,5378.071465249575,2519.493635633763,16,3.62873896,3.62873896,0,0.0,3,2916
CACTA6669|1966-07-07|M0012,CACTA6669,1966-07-07,M0012,106.9680241,16.83323312,12568.839840141341,12590.948472134553,22,2.65260817976,2.65260817976,0,0.0,2,937
CACTA6669|1969-09-22|ME306,CACTA6669,1969-09-22,ME306,106.8692162,16.80433594,2046.4069637993932,9377.72866180019,8,1.81436948,1.81436948,0,0.0,1,7989
CACTA6669|1969-08-06|B0027,CACTA6669,1969-08-06,B0027,106.9093418,16.87625743,6319.5362644228,17375.033466517285,11,2.4947580350000003,2.4947580350000003,0,0.0,1,7739
CACTA6669|1966-07-10|M0023,CACTA6669,1966-07-10,M0023,106.8950801,16.76343565,4800.753040079488,4829.823915509042,76,0.62051436216,0.62051436216,0,0.0,1,979
CACTA6669|1967-03-14|JG013,CACTA6669,1967-03-14,JG013,106.9195279,16.86260798,7404.293186912748,15857.283875028821,20,4.535923700000001,4.535923700000001,0,0.0,1,3509
CACTA6669|1969-07-21|ME530,CACTA6669,1969-07-21,ME530,106.9455437,16.83706176,10174.815677769295,13016.673816083177,14,3.17514659,3.17514659,0,0.0,1,7662
CACTA6669|1968-03-08|ME301,CACTA6669,1968-03-08,ME301,106.9605556,16.83691897,11773.490582269957,13000.796292507408,6,1.36077711,1.36077711,0,0.0,1,5421
CACTA6669|1968-05-18|MX026,CACTA6669,1968-05-18,MX026,106.93656599999998,16.87690556,9218.745913771525,17447.102234323633,2,0.45359237,0.45359237,0,0.0,1,5925
CACTA6669|1968-05-13|MX017,CACTA6669,1968-05-13,MX017,106.9386911,16.80911454,9445.055977093094,9909.084738263666,5,4.4678848445,4.4678848445,0,0.0,1,5891
CACTA6669|1968-03-07|B0026,CACTA6669,1968-03-07,B0026,107.008,16.842,16826.02701263857,13565.781050636155,24,4.7899354272,4.7899354272,0,0.0,2,5406
CACTA6669|1967-04-13|ME039,CACTA6669,1967-04-13,ME039,106.8771929,16.85215624,2895.876392101416,14695.103412420753,24,2.8304163888000002,2.8304163888000002,0,0.0,1,3790
CACTA6669|1966-08-21|M0040,CACTA6669,1966-08-21,M0040,106.86813665,16.83778061,1931.4415368279087,13096.606289101439,12,2.72155422,2.72155422,0,0.0,2,1635
CACTA6669|1967-12-28|MX015,CACTA6669,1967-12-28,MX015,106.9251948,16.86616932,8007.78313930404,16253.28681508526,12,2.72155422,2.72155422,0,0.0,1,4805
CACTA6669|1966-09-07|ME013,CACTA6669,1966-09-07,ME013,106.8585405,16.86407345,909.5106563392187,16020.236704178556,12,2.72155422,2.72155422,0,0.0,1,1712
CACTA6669|1967-03-17|MX030,CACTA6669,1967-03-17,MX030,106.8743512,16.8494713,2593.252841711195,14396.55170607591,2,1.81436948,1.81436948,0,0.0,1,3587
CACTA6669|1966-10-03|ME021,CACTA6669,1966-10-03,ME021,106.9418921,16.84703604,9785.942764862251,14125.763149015243,14,2.086524902,2.086524902,0,0.0,2,2009
CACTA6669|1967-10-30|JC032,CACTA6669,1967-10-30,JC032,106.9233088,16.865283399999996,7806.935753571012,16154.777005671722,4,0.90718474,0.90718474,0,0.0,1,4713
CACTA6669|1968-02-19|ME908,CACTA6669,1968-02-19,ME908,106.9383231,16.86514201,9405.866243292081,16139.05515499389,12,2.72155422,2.72155422,0,0.0,1,5249
CACTA6669|1968-02-17|ME012,CACTA6669,1968-02-17,ME012,106.9142637,16.80572889,6843.688304634791,9532.617634869686,12,1.4152081944000001,1.4152081944000001,0,0.0,1,5206
CACTA6669|1966-10-02|MX002,CACTA6669,1966-10-02,MX002,106.89624260000001,16.729267422,4924.552131232701,1030.4903094742406,5,1.1339809250000001,1.1339809250000001,0,0.0,3,1988
CACTA6669|1966-07-16|M0011,CACTA6669,1966-07-16,M0011,106.85701170000002,16.80354284,746.7028709168936,9289.539965478083,11,1.7327228534,1.7327228534,0,0.0,2,1080
CACTA6669|1967-01-09|ME028,CACTA6669,1967-01-09,ME028,106.9139521,16.86808183,6810.5048235133,16465.948224242286,2,0.45359237,0.45359237,0,0.0,1,2839
CACTA6669|1967-04-05|MX030,CACTA6669,1967-04-05,MX030,106.86782729999999,16.854048974999998,1898.4976668499808,14905.565941903365,2,1.00153195296,1.00153195296,0,0.0,2,3729
CACTA6669|1967-06-18|ME037,CACTA6669,1967-06-18,ME037,107.0406233,16.8659565,20300.20756353328,16229.622310796593,10,2.26796185,2.26796185,0,0.0,2,4215
CACTA6669|1968-05-14|ME364,CACTA6669,1968-05-14,ME364,106.97067059999999,16.81694296,12850.675792604265,10779.56532590637,20,2.7941289992000002,2.7941289992000002,0,0.0,2,5900
CACTA6669|1968-02-11|ME030,CACTA6669,1968-02-11,ME030,106.9418921,16.84703604,9785.942764862251,14125.763149015243,8,2.3568659545200004,2.3568659545200004,0,0.0,2,5149
CACTA6669|1967-01-09|MX020,CACTA6669,1967-01-09,MX020,106.91200259999998,16.86087104,6602.895078820061,15664.144959142743,3,0.680388555,0.680388555,0,0.0,1,2843
CACTA6669|1966-07-13|M0007,CACTA6669,1966-07-13,M0007,106.9260966,16.86254639,8103.81928588567,15850.435379496626,4,1.01786127828,1.01786127828,0,0.0,1,1025
CACTA6669|1969-01-04|MX031,CACTA6669,1969-01-04,MX031,106.85230350000002,16.80177798,245.3085647075456,9093.296487240392,10,2.2679618500000003,2.2679618500000003,0,0.0,1,6824
CACTA6669|1967-06-09|MX027,CACTA6669,1967-06-09,MX027,106.9232906,16.86347634,7804.997565649354,15953.841101529704,8,2.8993624290400004,2.8993624290400004,0,0.0,1,4154
CACTA6669|1967-06-03|ME039,CACTA6669,1967-06-03,ME039,106.9084124,16.87716971,6220.560887804997,17476.474374196747,20,2.358680324,2.358680324,0,0.0,1,4117
CACTA6669|1966-08-03|M0044,CACTA6669,1966-08-03,M0044,106.91014399999999,16.86269561,6404.965624356101,15867.027886450622,10,1.179340162,1.179340162,0,0.0,1,1462
CACTA6669|1968-04-15|ME334,CACTA6669,1968-04-15,ME334,106.8868455,16.8791767,3923.8188499644316,17699.641480022903,8,2.8993624290400004,2.8993624290400004,0,0.0,1,5776
CACTA6669|1967-02-20|H0011,CACTA6669,1967-02-20,H0011,106.943015,16.865097600000002,9905.524699877871,16134.116988301888,6,1.36077711,1.36077711,0,0.0,1,3146
CACTA6669|1968-07-18|ME319,CACTA6669,1968-07-18,ME319,106.89789070000002,16.85738761,5100.064631991021,15276.805215821363,12,2.72155422,2.72155422,0,0.0,1,6136
CACTA6669|1967-05-27|MX029,CACTA6669,1967-05-27,MX029,106.92298985882353,16.850084291176472,7772.970482363845,14464.713214977313,17,3.855535145,3.855535145,0,0.0,3,4028
CACTA6669|1966-08-20|M0028,CACTA6669,1966-08-20,M0028,106.85534640000002,16.82524549,569.3586760806184,11702.764540220807,8,1.81436948,1.81436948,0,0.0,1,1619
CACTA6669|1968-07-17|ME526,CACTA6669,1968-07-17,ME526,106.9239913,16.83997569,7879.617800634714,13340.688048680364,9,2.041165665,2.041165665,0,0.0,1,6122
