THOR_DATA_VIET_ID,MSNDATE,SOURCERECORD,MISSIONID,latitude,longitude,record_x,record_y,n_weapons,WEAPONTYPE,WEAPONTYPECLASS,weapon_weight_lb,weapon_weight_lb_used,weight_is_imputed,recorded_tonnage_t,known_tonnage_t,MFUNC_DESC,TGTCOUNTRY,MFUNC_DESC_CLASS,mission_key
24084,1972-11-09,SEADAB,6734,16.804722,107.013055,17364.353383201007,9420.656575180623,8,MK83 GP BOMB (1000),,1000,1000,False,3.62873896,3.62873896,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-09|6734
24960,1971-04-01,SEADAB,B121,16.807222,106.858333,887.4131841546953,9698.643891791766,4,,,0,500,True,0.90718474,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-04-01|B121
25068,1972-05-07,SEADAB,5702,16.801944,107.016666,17748.902646129784,9111.757068961722,2,,,0,500,True,0.45359237,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-05-07|5702
25250,1970-03-28,SEADAB,6404,16.834166,106.864166,1508.591763677764,12694.67999530279,4,,,0,500,True,0.90718474,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1970-03-28|6404
25313,1972-10-22,SEADAB,9500,16.745832999999998,107.02638799999998,18784.23577661442,2872.498540008737,12,,,0,500,True,2.72155422,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-22|9500
25387,1972-09-12,SEADAB,6932,16.825554999999998,107.019722,18074.34782683002,11737.180481966281,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-12|6932
25462,1971-05-12,SEADAB,B114,16.793332999999997,106.880555,3253.91933779292,8154.257555625214,4,,,0,500,True,0.90718474,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-05-12|B114
25491,1971-06-20,SEADAB,7901,16.793611,106.853333,354.9439748944694,8185.169745232573,61,,,0,500,True,13.834567285,0.0,CLOSE AIR SUPPORT,LAOS,KINETIC,SEADAB|1971-06-20|7901
25858,1972-05-14,SEADAB,6943,16.841944,106.916666,7099.518460916188,13559.554134744374,21,,,0,500,True,4.762719885,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-05-14|6943
26467,1972-04-01,SEADAB,5412,16.725555,106.888333,4082.2284397190765,617.6878175106447,2,,,0,500,True,0.45359237,0.0,FLAK SUPPRESSION,LAOS,KINETIC,SEADAB|1972-04-01|5412
27011,1970-07-24,SEADAB,B546,16.840833,106.9225,7720.803534280841,13436.016571242086,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1970-07-24|B546
27133,1972-06-30,SEADAB,6030,16.814722,107.013055,17364.353383201007,10532.60584162599,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-06-30|6030
27414,1971-08-05,SEADAB,6509,16.826110999999997,106.963611,12098.871866664334,11799.004861180607,16,MK 82 GP BOMB (500) LD,,500,500,False,3.62873896,3.62873896,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-05|6509
27518,1971-09-06,SEADAB,B161,16.842776999999998,106.911111,6507.945169427424,13652.179508638903,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-09-06|B161
29039,1970-04-17,SEADAB,B686,16.831388,106.861388,1212.7518710133468,12385.780489084287,4,LAU3/MA RKT LCHR (19),,342,342,False,0.62051436216,0.62051436216,CLOSE AIR SUPPORT,,KINETIC,SEADAB|1970-04-17|B686
29575,1972-04-15,SEADAB,9050,16.775833,106.916111,7040.414378687649,6208.346339345626,16,,,0,500,True,3.62873896,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-15|9050
30049,1971-07-02,SEADAB,B161,16.842776999999998,106.919444,7395.358353580605,13652.179508638903,4,MK81 GP BOMB (250),,250,250,False,0.45359237,0.45359237,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-07-02|B161
30253,1971-08-06,SEADAB,6562,16.834444,106.937222,9288.605874028728,12725.592184910152,2,20 MM AMMO (HNDRDS),,50,50,False,0.045359237000000004,0.045359237000000004,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-06|6562
30403,1972-06-28,SEADAB,7084,16.720277,106.960555,11773.4266859641,30.80099468060135,3,,,0,500,True,0.680388555,0.0,STRIKE,NORTH VIETNAM,KINETIC,SEADAB|1972-06-28|7084
30804,1971-08-11,SEADAB,5725,16.842776999999998,106.905555,5916.265384097076,13652.179508638903,24,MK 82 GP BOMB (500) LD,,500,500,False,5.44310844,5.44310844,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-11|5725
30843,1972-04-14,SEADAB,6005,16.740833,106.978611,13696.279494446524,2316.523906786054,13,,,0,500,True,2.9483504050000002,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-14|6005
31364,1972-09-03,SEADAB,6603,16.854722,107.006666,16683.96422760782,14980.402907408245,2100,,,0,500,True,476.2719885,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-03|6603
31794,1972-06-11,SEADAB,6631,16.7275,106.961666,11891.741344261247,833.9619498342221,2,,,0,500,True,0.45359237,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-06-11|6631
32018,1971-06-25,SEADAB,B120,16.815832999999998,106.895833,4880.932253609415,10656.14340512788,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-25|B120
32604,1972-10-02,SEADAB,6796,16.758333,106.972222,13015.890338853334,4262.435123066037,2,,,0,500,True,0.45359237,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-02|6796
33502,1971-04-04,SEADAB,6412,16.830833,106.850833,88.7093702628432,12324.067304796325,8,,,0,500,True,1.81436948,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1971-04-04|6412
34438,1971-06-21,SEADAB,5421,16.808611,106.881666,3372.2339960900676,9853.093644901019,24,,,0,500,True,5.44310844,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-21|5421
34623,1971-04-03,SEADAB,6605,16.8125,106.856388,680.2826617516079,10285.53071462181,1,,,0,500,True,0.226796185,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-04-03|6605
35410,1971-06-26,SEADAB,B105,16.845554999999997,106.8925,4525.988278716459,13961.079014857407,28,,,0,500,True,6.35029318,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-26|B105
35446,1971-07-28,SEADAB,6655,16.85,106.904722,5827.5560138342325,14455.340463792918,16,MK 82 GP BOMB (500) LD,,500,500,False,3.62873896,3.62873896,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-07-28|6655
35817,1971-06-26,SEADAB,B153,16.740277,106.8725,2396.111441674043,2254.6995275717286,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-26|B153
35955,1972-06-12,SEADAB,6658,16.805833,106.998888,15855.655125681662,9544.194138682513,3,,,0,500,True,0.680388555,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-06-12|6658
36081,1971-08-05,SEADAB,6511,16.846388,106.916666,7099.518460916188,14053.70438875273,16,MK 82 GP BOMB (500) LD,,500,500,False,3.62873896,3.62873896,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-05|6511
36130,1972-04-27,SEADAB,9762,16.735833,107.031111,19287.206191683435,1760.549273563371,12,,,0,500,True,2.72155422,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-27|9762
36669,1971-06-25,SEADAB,6501,16.842222,106.868055,1922.7463146408425,13590.466324351337,18,,,0,500,True,4.08233133,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-25|6501
37330,1972-10-15,SEADAB,9241,16.798333,107.020555,18163.05719709286,8710.232188848293,20,,,0,500,True,4.535923700000001,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-15|9241
37499,1971-07-02,SEADAB,B115,16.842776999999998,106.919444,7395.358353580605,13652.179508638903,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-07-02|B115
37747,1972-06-09,SEADAB,7085,16.751666,106.984444,14317.458073969592,3521.098547126742,1,,,0,500,True,0.226796185,0.0,STRIKE,NORTH VIETNAM,KINETIC,SEADAB|1972-06-09|7085
37885,1972-10-30,SEADAB,6940,16.860277,106.966666,12424.210553522988,15598.090724918886,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-30|6940
38706,1972-05-31,SEADAB,7098,16.746388,106.966388,12394.60526548717,2934.211724296699,8,,,0,500,True,1.81436948,0.0,STRIKE,NORTH VIETNAM,KINETIC,SEADAB|1972-05-31|7098
38792,1972-10-27,SEADAB,6929,16.851111,106.999444,15914.865701751785,14578.878027294812,12,,,0,500,True,2.72155422,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-27|6929
